Location,Count,Samples,Percentage,InfectionRate
US-Seattle-sea,5,29,0.1724137931034483,14785.807059893057
US-New-York-nyc,13,25,0.52,23956.748486221582
US-New-Orleans-msy,9,35,0.2571428571428571,20314.294209317584
US-Miami-mia,22,31,0.7096774193548387,41532.385698616825
US-Los-Angeles-lax,26,33,0.7878787878787878,26002.163339826933
US-Las-Vegas-las,14,33,0.42424242424242425,21542.14358664411
US-Houston-hou,13,33,0.3939393939393939,20005.66479077933
US-Denver-den,13,33,0.3939393939393939,21639.24913127001
US-Chicago-chi,13,33,0.3939393939393939,20879.560206305232
US-Charlotte-clt,12,33,0.36363636363636365,23119.07172114169
US-Boston-bos,18,30,0.6,24508.43194548623
US-Ashburn-iad,5,29,0.1724137931034483,14912.051613152842
SG-Singapore-sin,17,33,0.5151515151515151,5788.1221665122885
RS-Belgrade-beg,17,29,0.5862068965517241,13700.71314365765
PE-Lima-lim,9,29,0.3103448275862069,12191.964999764785
NZ-Auckland-akl,21,33,0.6363636363636364,334.8241364529668
MY-Kuala-Lumpur-kul,10,33,0.30303030303030304,12324.67386414755
MD-Chisinau-kiv,27,29,0.9310344827586207,10772.260429756048
CR-San-Jose-sjo,5,30,0.16666666666666666,13397.42298660768
CL-Santiago-scl,9,29,0.3103448275862069,12100.888987865272
CA-Toronto-tor,11,30,0.36666666666666664,6942.9582063465
CA-Montreal-yul,17,29,0.5862068965517241,9992.405425646375
BR-Sao-Paulo-gru,7,28,0.25,10069.931979645313
AU-Sydney-syd,29,33,0.8787878787878788,13589.788125153977
AU-Perth-per,2,33,0.06060606060606061,55.57667452292254
AU-Melbourne-mel,10,33,0.30303030303030304,12528.152762485104
AU-Brisbane-bne,33,33,1.0,7625.960316684586
AU-Adelaide-adl,33,33,1.0,6564.0762880728735
AR-Buenos-Aires-eze,17,29,0.5862068965517241,18301.78956764036
AL-Tirana-tia,24,31,0.7741935483870968,8830.565014941969
